Date,Sales
2025-12-31,355.9056560034751
2026-01-01,322.2212987883913
2026-01-02,295.29891565130947
2026-01-03,281.40876752772965
2026-01-04,276.67397749564134
2026-01-05,317.45123020466144
2026-01-06,331.61266817678825
2026-01-07,340.955289410771
2026-01-08,321.61811143298837
2026-01-09,306.5789417828619
2026-01-10,290.9133935123691
2026-01-11,276.7832551651336
2026-01-12,328.697463301678
2026-01-13,335.6340896698748
2026-01-14,345.6244308477644
2026-01-15,329.95134784336005
2026-01-16,311.76506916347716
2026-01-17,295.74590257142245
2026-01-18,293.15484222133364
2026-01-19,333.03930905577545
2026-01-20,343.69607611048286
2026-01-21,349.8823811079237
2026-01-22,335.6139960755763
2026-01-23,322.6702652156355
2026-01-24,307.34373405240694
2026-01-25,300.0225459237945
2026-01-26,341.2318414964602
2026-01-27,356.36705570280265
2026-01-28,351.637010162719
2026-01-29,343.19154481093574
